25001,0,0.262,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.01,0.0,0,0.01,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.01,0.0,0,0,0,0
25002,0,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.0,0.0,0.018,0.0,0,0,0,0
25003,1,0.031,0.148,1.161,2.026,41654.0,0,0.0,0.0,0.0,0.011,0.0,1,0.018,0.136,1.149,1.397,60410.0,0,0.0,0.0,0.0,0.01,0.0,1,0,0,0
25004,0,0.256,0.451,0.0,5.999,0.0,0,0.256,0.488,0.0,6.0,0.0,0,0.014,0.213,0.0,5.999,0.0,1,0.03,0.276,3.936,6.0,357.0,2,0,0,0
25005,0,0.513,0.781,0.0,6.0,0.0,0,0.0,0.0,0.0,0.01,0.0,1,0.013,0.28,2.499,4.912,4084.0,0,0.0,0.0,0.0,0.019,0.0,1,0,0,0
25006,1,0.262,0.491,0.722,0.722,436.0,0,0.0,0.0,0.0,0.01,0.0,0,0.018,0.245,0.0,1.174,0.0,0,0.0,0.0,0.0,0.009,0.0,1,0,0,0
25007,1,0.03,0.186,1.208,1.959,50645.0,0,0.0,0.0,0.0,0.01,0.0,1,0.02,0.188,1.242,1.724,57534.0,0,0.0,0.0,0.0,0.01,0.0,1,0,0,0
25008,1,0.019,0.37,0.719,1.771,86603.0,0,0.0,0.0,0.0,0.019,0.0,1,0.014,0.356,2.426,5.07,30250.0,0,0.0,0.0,0.0,0.012,0.0,1,0,0,0
25009,0,0.255,0.463,0.0,6.0,0.0,0,0.0,0.0,0.0,0.011,0.0,1,0.013,0.22,1.806,6.001,73300.0,0,0.0,0.0,0.0,0.012,0.0,1,0,0,0
25010,1,0.013,0.178,1.199,1.877,80600.0,0,0.0,0.0,0.0,0.021,0.0,1,0.01,0.177,1.868,2.185,69226.0,0,0.0,0.0,0.0,0.01,0.0,1,0,0,0
25011,1,0.0,0.0,1.241,6.0,13505.0,0,0.0,0.0,0.0,0.133,0.0,1,0.0,0.0,0.918,5.614,56493.0,0,0.0,0.0,0.0,0.133,0.0,1,0,0,0
25012,0,0.0,0.0,0.0,3.533,0.0,0,0.0,0.0,0.0,3.525,0.0,-1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.011,0.0,1,0,0,0
